ID,Keyword,Source,URL,Title,Subtitle,Summary,Rating,MemberOnly,Date,Reactions (number format),Sentiment Analysis
518,chatgpt AND code,Medium,https://rajvivan11.medium.com/how-to-debug-code-using-chatgpt-7b75d2615b8c,How to Debug Code Using ChatGPT,,"Debugging is an essential part of programming, as it helps in identifying and fixing errors in the code. However, the process of debugging can be time-consuming and challenging, especially when dealing with complex code. But with the help of ChatGPT, a large language model trained by OpenAI, debugging can be made much more manageable and efficient. In this article, we will discuss how to debug code using the correct ChatGPT prompt.",8,False,,8,Positive
519,chatgpt AND code,Medium,https://gaganbajaj.medium.com/augment-code-analysis-process-with-generative-ai-chatgpt-d0b78fbe7fc0,Augment Code Analysis process With Generative AI (ChatGPT),,“ChatGPT” — a word that taken the world by surprise since Nov 2022. Some people are calling it as internet moment of our times which will going to change everything around us. Here we will discuss the foundational understanding of Generative AI and explore how ChatGPT can be used for improving code analysis.,8,False,,8,Positive
520,chatgpt AND code,Medium,https://thecloudnativeguy.medium.com/improving-developer-feedback-with-chatgpt-and-azure-devops-17c71af1edf3,Improving Developer Feedback with ChatGPT and Azure DevOps,,"Inspired by a video I saw from the brilliant Jeroen Niesen on his YouTube Channel AzureVlog about enriching security incidents from Azure Sentinel with ChatGPT, it got me thinking about how we could enrich the developer experience with ChatGPT.",8,False,,8,Positive
521,chatgpt AND code,Medium,https://sourcingdenis.medium.com/codex-can-codai-chatgpt-prompts-for-coding-e720d268a087,"CODEX, CAN & CODAI — ChatGPT Prompts for Coding",,"Recruiters and talent sourcers, traditionally bogged down with piles of resumes and laborious headhunting processes, now have powerful tools at their disposal, capable of automating and optimizing their workflows. However, these tools often require a degree of technological savviness, which may not be a recruiter’s forte.",8,False,,8,Positive
522,chatgpt AND code,Medium,https://sonery.medium.com/i-showed-chatgpt-code-interpreter-a-messy-dataset-and-the-desired-cleaned-version-4b757086a222,I Showed ChatGPT Code Interpreter a Messy Dataset and the Desired Cleaned Version,And sat down to watch how it got me the data I wanted.,"When I look at a raw and messy dataset, my first reaction usually is “I wish it was this format”.",8,True,,8,Positive
523,chatgpt AND code,Medium,https://johnnyjagatpal.medium.com/how-to-code-an-android-app-using-chatgpt-bf210a339123,How to code an Android app using ChatGPT,,"Hello and welcome to my post about using ChatGPT to write an android app that fetches a random cat image from https://cataas.com/cat. As someone who has just started learning android development two weeks ago, I was excited to see if ChatGPT could assist me in creating a functional app. Over the past few days, I have extensively tested ChatGPT to see if it was capable of writing an app that meets the specifications I set. In this post, I will share my findings and the process of using ChatGPT to create an android app. Stay tuned to see if ChatGPT was able to successfully assist me in creating a functional app despite my limited knowledge of android development.",8,False,,8,Positive
524,codewhisperer,Medium,https://medium.com/@vedantagrawal13/deciphering-the-buzz-behind-ai-pair-programmers-part-1-of-4-c0c0aa4da137?source=topics_v2---------14-84--------------------ec0cec6b_69c3_41a2_8aac_6c12c068a00d-------17,Deciphering the buzz behind AI pair programmers (part 1 of 4),,"AI pair programmers or text-to-code tools have created a lot of buzz over the past year. While GitHub Copilot has captured a larger share of media attention for its ability to write complete functions as well as its disregard for licenses and attribution, other players like Amazon CodeWhisperer and Tabnine (founded in 2018 and have raised $30M from investors like Khosla Ventures) have also made significant dents in the market. To put it simply, AI pair programmers help software programmers write code, create unit tests or comment, hence reducing manual tasks and increase productivity.",8,False,,8,Positive
525,codewhisperer,Medium,https://cmani.medium.com/amazon-codewhisperer-stepping-on-the-accelerator-1d0883ed649e,Amazon CodeWhisperer —stepping on the accelerator ;-),,"I had written a blog around Amazon CodeWhisperer when it was in a public preview sometime back. It was my first time around with a general purpose, AI-powered code generator and I had played around with it using kid gloves ..",8,False,,8,Positive
526,copilot,Medium,https://medium.com/@talktorahul.b/create-your-own-copilot-for-free-f5b894cb8589,Create your own Copilot for free,,"github copilot is a very useful tool, but you need to pay $10 dollars monthly to use it. However, don’t worry — when there is a model like copilot available as open source, you can create your own copilot. This way, you can use all the features of copilot without having to pay anything.",8,False,,8,Positive
527,copilot,Medium,https://walkingriver.medium.com/github-copilot-is-an-amazing-tech-and-it-helps-me-in-ways-i-couldnt-have-imagined-a-year-ago-a797d5c126d8,,,GitHub Copilot is an amazing tech and it helps me in ways I couldn’t have imagined a year ago. I don’t see it replacing developers any time soon.,8,False,,8,Positive
528,tabnine,Medium,https://olucasandrade.medium.com/10-extens%C3%B5es-para-aumentar-a-sua-produtividade-no-visual-studio-code-616dc17ccef7,10 extensões para aumentar a sua produtividade no Visual Studio Code,,"Se você já é desenvolvedor ou estudante de programação a algum tempo, deve saber que o Visual Studio Code é a principal IDE usada pelos programadores nos últimos anos. Existem muitos fatores para a IDE ser considerada a principal no mercado: A leveza do programa, a praticidade, o seu design intuitivo, e, em específico, suas milhares de extensões que permitem que você faça coisas de maneira muito mais rápida e simples.",8,False,,8,Positive
529,tabnine,Medium,https://medium.com/@CodingWithDavid/battle-of-the-bots-tabnine-vs-co-pilot-1c6dedc9b49e,Battle of the bots: Tabnine vs Co-pilot.,,"Now that I have access to both Tabnine Pro and GitHub Copilot, I thought it best to share my thoughts on these two utilities from the perspective of a beginner-level developer.",8,False,,8,Positive
530,tabnine,Medium,https://golosay.medium.com/i-will-take-a-look-on-workflowy-for-you-probably-will-be-also-interesting-routine-e698b5f3c70c,,,"I will take a look on Workflowy)
For you probably will be also interesting Routine.

It’s currently in closed beta and not available for everyone, but looks promising)

https://www.routine.co/",8,False,,8,Positive
531,tabnine,Medium,https://rithikjs.medium.com/my-visual-studio-code-setup-1d56198fbfd,My Visual Studio Code Setup,,"A lot of people have been asking me, what extensions and themes do you use in Visual Studio Code?",8,False,,8,Positive
532,copilot,Medium,https://actbrilliant.medium.com/next-generation-ai-copilot-in-power-apps-are-here-edeac2fda4b3?source=read_next_recirc-----175fc9c38e5b----3---------------------f17c5363_336f_4c81_90a9_a7380a29f346-------,Next-generation AI Copilot in Power Apps is here,,"Today Microsoft announced the launch of a next-generation AI copilot that promises to revolutionize the way we create and interact with software applications. With the aid of advanced large language models, Microsoft is pushing code abstraction to the next level. Moving beyond custom code and low-code, the next frontier is natural language authoring where humans and machines collaborate to build applications together.",7,True,"Mar 16, 2023",7,Positive
533,codewhisperer,Medium,https://medium.com/@mark-ridley/who-wins-and-who-loses-how-different-types-of-business-could-be-impacted-by-ai-tools-684d1e83a9e0,Who wins and who loses? How AI coding tools will impact different types of businesses.,How Generative AI will impact product engineering teams — Part 5,"This is the fifth part of a six part series investigating how generative AI productivity tools aimed at developers, like Github Copilot, ChatGPT and Amazon CodeWhisperer might impact the structure of entire product engineering teams.",7,True,"July 31, 2023",7,Positive
534,ai code assistants,Medium,https://qwiklabs.medium.com/revolutionizing-experiences-and-empowering-innovation-with-generative-ai-aa55d671c221,Revolutionizing Experiences and Empowering Innovation with Generative AI,,"Generative AI is revolutionizing the way we interact with information and each other. By leveraging decades of AI research and innovation, businesses and governments can now generate text, images, code, videos and audio from simple natural language prompts. To make this technology accessible and customizable for everyone, Google Cloud is launching a range of products.",7,False,,7,Positive
535,ai code assistants,Medium,https://deepaksingh-rv.medium.com/basic-building-blocks-of-ai-powered-jarvis-the-iron-man-assistant-f269a3ec4d0b,Basic building blocks of AI-Powered Jarvis — the Iron Man Assistant,Real-world application of RNN and CNN,"N
ot long ago I used to think, that Jarvis from Iron Man cannot be a thing anytime soon, at least for decades. But this talk by Andrej Karpathy (posted below) just cleared the blurriness and bumped the possibilities in front of me. This talk is about Recurrent Neural Networks (RNN) — one of the deep learning tools that are a part of machine learning toolset that is in turn a part of the artificial intelligence domain. Imagine, what other remaining parts can do!",7,True,,7,Positive
536,codewhisperer,Medium,https://cmani.medium.com/red-hat-openshift-service-on-aws-rosa-getting-started-an-unofficial-cheat-sheet-3dcf6e85279d,"Red Hat OpenShift Service on AWS (ROSA) — getting started, an unofficial cheat sheet ..",,"R
OSA is a fully managed OpenShift service with joint support from AWS and Red Hat. It became generally available on 24th March 2021 — https://aws.amazon.com/blogs/aws/red-hat-openshift-service-on-aws-now-generally-availably/",7,False,,7,Positive
537,tabnine,Medium,https://vc-surfer.medium.com/joopiter-dreamscape-movio-mindgrasp-15th-november-2022-4ded7c3a4417?source=rss------startup-5,"Joopiter, Dreamscape, Movio, Mindgrasp — 15th November, 2022",,"We see about 5,000 startups each week, and I want to give you a glimpse into how we at Headline think about trending tech companies and tracking new investment opportunities. In this post, I’m highlighting top tech companies that have announced or raised a seed round within the past week.",7,False,,7,Positive
